	sample	fat	rep	lib	fatrep	fatlib	fatreplib
DM_R1_LB1	DM_R1_LB1	DM	R1	LB1	DMR1	DMLB1	DMR1LB1
DM_R1_LB2	DM_R1_LB2	DM	R1	LB2	DMR1	DMLB2	DMR1LB2
DM_R2_LB1	DM_R2_LB1	DM	R2	LB1	DMR2	DMLB1	DMR2LB1
DM_R2_LB2	DM_R2_LB2	DM	R2	LB2	DMR2	DMLB2	DMR2LB2
DM_R3_LB1	DM_R3_LB1	DM	R3	LB1	DMR3	DMLB1	DMR3LB1
DM_R3_LB2	DM_R3_LB2	DM	R3	LB2	DMR3	DMLB2	DMR3LB2
DM_R4_LB1	DM_R4_LB1	DM	R4	LB1	DMR4	DMLB1	DMR4LB1
DM_R4_LB2	DM_R4_LB2	DM	R4	LB2	DMR4	DMLB2	DMR4LB2
DM_R5_LB1	DM_R5_LB1	DM	R5	LB1	DMR5	DMLB1	DMR5LB1
DM_R5_LB2	DM_R5_LB2	DM	R5	LB2	DMR5	DMLB2	DMR5LB2
DM_R6_LB1	DM_R6_LB1	DM	R6	LB1	DMR6	DMLB1	DMR6LB1
DM_R6_LB2	DM_R6_LB2	DM	R6	LB2	DMR6	DMLB2	DMR6LB2
FF_R1_LB1	FF_R1_LB1	FF	R1	LB1	FFR1	FFLB1	FFR1LB1
FF_R1_LB2	FF_R1_LB2	FF	R1	LB2	FFR1	FFLB2	FFR1LB2
FF_R2_LB1	FF_R2_LB1	FF	R2	LB1	FFR2	FFLB1	FFR2LB1
FF_R2_LB2	FF_R2_LB2	FF	R2	LB2	FFR2	FFLB2	FFR2LB2
FF_R3_LB1	FF_R3_LB1	FF	R3	LB1	FFR3	FFLB1	FFR3LB1
FF_R3_LB2	FF_R3_LB2	FF	R3	LB2	FFR3	FFLB2	FFR3LB2
FF_R4_LB1	FF_R4_LB1	FF	R4	LB1	FFR4	FFLB1	FFR4LB1
FF_R4_LB2	FF_R4_LB2	FF	R4	LB2	FFR4	FFLB2	FFR4LB2
FF_R5_LB1	FF_R5_LB1	FF	R5	LB1	FFR5	FFLB1	FFR5LB1
FF_R5_LB2	FF_R5_LB2	FF	R5	LB2	FFR5	FFLB2	FFR5LB2
FF_R6_LB1	FF_R6_LB1	FF	R6	LB1	FFR6	FFLB1	FFR6LB1
FF_R6_LB2	FF_R6_LB2	FF	R6	LB2	FFR6	FFLB2	FFR6LB2
LF_R1_LB1	LF_R1_LB1	LF	R1	LB1	LFR1	LFLB1	LFR1LB1
LF_R1_LB2	LF_R1_LB2	LF	R1	LB2	LFR1	LFLB2	LFR1LB2
LF_R2_LB1	LF_R2_LB1	LF	R2	LB1	LFR2	LFLB1	LFR2LB1
LF_R2_LB2	LF_R2_LB2	LF	R2	LB2	LFR2	LFLB2	LFR2LB2
LF_R3_LB1	LF_R3_LB1	LF	R3	LB1	LFR3	LFLB1	LFR3LB1
LF_R3_LB2	LF_R3_LB2	LF	R3	LB2	LFR3	LFLB2	LFR3LB2
LF_R4_LB1	LF_R4_LB1	LF	R4	LB1	LFR4	LFLB1	LFR4LB1
LF_R4_LB2	LF_R4_LB2	LF	R4	LB2	LFR4	LFLB2	LFR4LB2
LF_R5_LB1	LF_R5_LB1	LF	R5	LB1	LFR5	LFLB1	LFR5LB1
LF_R5_LB2	LF_R5_LB2	LF	R5	LB2	LFR5	LFLB2	LFR5LB2
LF_R6_LB1	LF_R6_LB1	LF	R6	LB1	LFR6	LFLB1	LFR6LB1
LF_R6_LB2	LF_R6_LB2	LF	R6	LB2	LFR6	LFLB2	LFR6LB2
